'SC', 'Florianopolis - SC', '187.49.226.62', 'Aparecida do Taboado - MS', '179.109.64.99', 1156.32, 12, 6, 5
'SC', 'Florianopolis - SC', '187.49.226.62', 'Eldorado - MS', '131.221.124.17', 992.21, 10, 21, 5
'SC', 'Florianopolis - SC', '187.49.226.62', 'Vila Rica - MT', '45.168.220.41', 2508.86, 25, 7, 5
'SC', 'Florianopolis - SC', '187.49.226.62', 'Campo Novo do Parecis - MT', '45.7.13.1', 2375.19, 24, 22, 7
'SC', 'Florianopolis - SC', '187.49.226.62', 'Anapolis - GO', '177.75.48.129', 1626.05, 16, 2, 4
'SC', 'Florianopolis - SC', '187.49.226.62', 'Aparecida de Goiania - GO', '45.70.41.1', 1555.0, 16, 21, 9
'SC', 'Florianopolis - SC', '187.49.226.62', 'Brasilia - DF', '45.164.243.225', 1678.43, 17, 2, 4
'SC', 'Florianopolis - SC', '187.49.226.62', 'Uberlandia - MG', '179.96.34.65', 1262.89, 13, 7, 12
'SC', 'Florianopolis - SC', '187.49.226.62', 'Salvador - BA', '170.84.39.225', 2677.81, 27, 13, 5
'SC', 'Florianopolis - SC', '187.49.226.62', 'Salvador - BA', '201.157.194.69', 2677.81, 27, 15, 18
'SC', 'Florianopolis - SC', '187.49.226.62', 'Aracaju - SE', '170.81.184.1', 2872.44, 29, 33, 12
'SC', 'Florianopolis - SC', '187.49.226.62', 'Sao Paulo - SP', '179.96.111.1', 694.12, 7, 8, 13
'SC', 'Florianopolis - SC', '187.49.226.62', 'Arapiraca - AL', '186.235.128.222', 3033.03, 30, 2, 4
'SC', 'Florianopolis - SC', '187.49.226.62', 'Craibas - AL', '179.127.79.254', 3066.02, 31, 22, 21
'SC', 'Florianopolis - SC', '187.49.226.62', 'Jaboatao dos Guararapes - PE', '201.76.105.1', 3342.12, 33, 3, 4
'SC', 'Florianopolis - SC', '187.49.226.62', 'Camaragibe - PE', '168.195.180.33', 3361.41, 34, 20, 7
'SC', 'Florianopolis - SC', '187.49.226.62', 'Campina Grande - PB', '130.185.238.1', 3367.49, 34, 18, 5
'SC', 'Florianopolis - SC', '187.49.226.62', 'Campina Grande - PB', '45.179.88.1', 3367.49, 34, 431, 5
'SC', 'Florianopolis - SC', '187.49.226.62', 'Caico - RN', '201.158.24.5', 3421.61, 34, 22, 6
'SC', 'Florianopolis - SC', '187.49.226.62', 'Pedra Lavrada - PB', '177.8.177.1', 3347.97, 33, 9, 6
'SC', 'Florianopolis - SC', '187.49.226.62', 'Frecheirinha - CE', '132.255.80.201', 3620.45, 36, 27, 6
'SC', 'Florianopolis - SC', '187.49.226.62', 'Fortaleza - CE', '200.25.36.66', 3761.87, 38, 6, 5
'SC', 'Florianopolis - SC', '187.49.226.62', 'Teresina - PI', '168.90.89.225', 3328.47, 33, 5, 5
'SC', 'Florianopolis - SC', '187.49.226.62', 'Novo Oriente do Piaui - PI', '177.66.116.1', 3244.41, 32, 27, 6
'SC', 'Florianopolis - SC', '187.49.226.62', 'Imperatriz - MA', '186.193.182.121', 2959.1, 30, 22, 6
'SC', 'Florianopolis - SC', '187.49.226.62', 'Sao Luis - MA', '200.108.164.28', 3580.69, 36, 10, 6
'SC', 'Florianopolis - SC', '187.49.226.62', 'Palmas - TO', '179.124.132.77', 2485.34, 25, 6, 5
'SC', 'Florianopolis - SC', '187.49.226.62', 'Santa Fe do Araguaia - TO', '138.255.40.25', 2778.92, 28, 24, 8
'SC', 'Florianopolis - SC', '187.49.226.62', 'Canaa Dos Carajas - PA', '132.255.230.25', 2974.85, 30, 12, 5
'SC', 'Florianopolis - SC', '187.49.226.62', 'Redencao - PA', '177.36.241.33', 2747.61, 27, 1, 4
'SC', 'Florianopolis - SC', '187.49.226.62', 'Macapa - AP', '186.216.165.254', 4050.71, 41, 54, 11
'SC', 'Florianopolis - SC', '187.49.226.62', 'Boa Vista - RR', '45.160.184.1', 5105.04, 51, 412, 17
'SC', 'Florianopolis - SC', '187.49.226.62', 'Sao Paulo - SP', '179.96.123.81', 694.12, 7, 18, 12
'SC', 'Florianopolis - SC', '187.49.226.62', 'Manaus - AM', '45.236.220.201', 4322.66, 43, 25, 17
'SC', 'Florianopolis - SC', '187.49.226.62', 'Ouro Preto do Oeste - RO', '191.37.216.1', 3102.5, 31, 24, 7
'SC', 'Florianopolis - SC', '187.49.226.62', 'Cacoal - RO', '177.22.96.225', 2956.26, 30, 24, 7
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Pelotas - RS', '177.72.192.17', 1106.02, 11, 15, 6
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Pelotas - RS', '187.86.130.145', 1106.02, 11, 8, 6
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Sao Ludgero - SC', '177.126.23.190', 572.27, 6, 4, 13
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Florianopolis - SC', '187.49.226.62', 420.97, 4, 12, 5
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Curitiba - PR', '200.192.248.61', 116.68, 1, 16, 15
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Mococa - SP', '187.49.218.17', 676.16, 7, 15, 21
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Passo da Areia - RS', '168.196.188.1', 848.42, 8, 32, 5
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Uberlandia - MG', '179.96.53.1', 858.05, 9, 9, 13
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Rio de Janeiro - RJ', '200.218.239.30', 951.7, 10, 5, 5
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Uberaba - MG', '201.62.48.1', 749.57, 7, 5, 5
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Ipanema - MG', '179.107.112.1', 1345.49, 13, 37, 255
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Serra - ES', '201.71.200.5', 1477.92, 15, 13, 6
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Aparecida do Taboado - MS', '179.109.64.99', 739.95, 7, 6, 5
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Eldorado - MS', '131.221.124.17', 597.22, 6, 11, 5
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Vila Rica - MT', '45.168.220.41', 2092.49, 21, 6, 5
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Campo Novo do Parecis - MT', '45.7.13.1', 1958.82, 20, 21, 7
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Anapolis - GO', '177.75.48.129', 1169.7, 12, 1, 4
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Aparecida de Goiania - GO', '45.70.41.1', 1098.65, 11, 231, 9
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Brasilia - DF', '45.164.243.225', 1273.59, 13, 2, 4
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Uberlandia - MG', '179.96.34.65', 858.05, 9, 9, 12
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Salvador - BA', '170.84.39.225', 2411.7, 24, 24, 5
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Salvador - BA', '201.157.194.69', 2411.7, 24, 13, 18
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Aracaju - SE', '170.81.184.1', 2606.33, 26, 187, 12
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Sao Paulo - SP', '179.96.111.1', 515.76, 5, 7, 13
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Arapiraca - AL', '186.235.128.222', 2766.92, 28, 1, 4
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Craibas - AL', '179.127.79.254', 2799.91, 28, 20, 21
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Jaboatao dos Guararapes - PE', '201.76.105.1', 3076.01, 31, 1, 4
'PR', 'Ponta Grossa - PR', '179.189.16.1', 'Camaragibe - PE', '168.195.180.33', 3095.3, 31, 21, 7
